Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2017-02-04,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2017-02-04,Leg Press,Legs,90.0,12,,,
2017-02-04,Leg Press,Legs,90.0,12,,,
2017-02-04,Leg Press,Legs,90.0,12,,,
2017-02-04,Calf Raise,Legs,0.0,20,,,
2017-02-04,Calf Raise,Legs,0.0,20,,,
2017-02-04,Calf Raise,Legs,0.0,20,,,
2017-02-04,Wall Sit,Legs,,,0.0,m,0:01:30
2017-02-04,Wall Sit,Legs,,,0.0,m,0:01:30
2017-02-04,Wall Sit,Legs,,,0.0,m,0:01:30
2017-02-05,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2017-02-05,Pull Up,Back,0.0,9,,,
2017-02-05,Pull Up,Back,0.0,8,,,
2017-02-05,Pull Up,Back,0.0,7,,,
2017-02-05,Pull Up,Back,0.0,6,,,
2017-02-05,Wide Grip Pull up,Back,0.0,5,,,
2017-02-05,Wide Grip Pull up,Back,0.0,5,,,
2017-02-05,Wide Grip Pull up,Back,0.0,4,,,
2017-02-05,Flat Dumbbell Fly,Chest,30.0,12,,,
2017-02-05,Flat Dumbbell Fly,Chest,30.0,12,,,
2017-02-05,Flat Dumbbell Fly,Chest,30.0,12,,,
2017-02-05,Lat Fly,Back,20.0,12,,,
2017-02-05,Lat Fly,Back,20.0,12,,,
2017-02-05,Lat Fly,Back,20.0,12,,,
2017-02-05,Chest Press Machine,Chest,95.0,12,,,
2017-02-05,Chest Press Machine,Chest,95.0,12,,,
2017-02-05,Chest Press Machine,Chest,100.0,12,,,
2017-02-05,Pull Up,Back,0.0,4,,,
2017-02-05,Pull Up,Back,0.0,3,,,
2017-02-05,Pull Up,Back,0.0,3,,,
2017-02-06,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-06,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-06,Seated Incline Dumbbell Curl,Biceps,25.0,12,,,
2017-02-06,Overhead Press,Shoulders,25.0,12,,,
2017-02-06,Overhead Press,Shoulders,25.0,12,,,
2017-02-06,Overhead Press,Shoulders,30.0,10,,,
2017-02-06,Rope Push Down,Triceps,80.0,12,,,
2017-02-06,Rope Push Down,Triceps,80.0,12,,,
2017-02-06,Rope Push Down,Triceps,80.0,12,,,
2017-02-06,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-06,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-06,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-06,Tricep Extension Machine,Triceps,60.0,12,,,
2017-02-06,Tricep Extension Machine,Triceps,65.0,12,,,
2017-02-09,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-09,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-09,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-09,Overhead Press,Shoulders,25.0,12,,,
2017-02-09,Overhead Press,Shoulders,25.0,12,,,
2017-02-09,Overhead Press,Shoulders,25.0,12,,,
2017-02-09,Rope Push Down,Triceps,80.0,12,,,
2017-02-09,Rope Push Down,Triceps,80.0,12,,,
2017-02-09,Rope Push Down,Triceps,80.0,12,,,
2017-02-09,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-09,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-09,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-09,Tricep Extension Machine,Triceps,60.0,12,,,
2017-02-09,Tricep Extension Machine,Triceps,65.0,12,,,
2017-02-09,Tricep Extension Machine,Triceps,65.0,12,,,
2017-02-09,Two-part Dumbbell Curl,Biceps,20.0,12,,,
2017-02-09,Two-part Dumbbell Curl,Biceps,20.0,12,,,
2017-02-09,Two-part Dumbbell Curl,Biceps,20.0,12,,,
2017-02-16,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-16,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-16,Seated Incline Dumbbell Curl,Biceps,20.0,12,,,
2017-02-16,Overhead Press,Shoulders,25.0,12,,,
2017-02-16,Overhead Press,Shoulders,25.0,12,,,
2017-02-16,Overhead Press,Shoulders,25.0,12,,,
2017-02-16,Rope Push Down,Triceps,80.0,12,,,
2017-02-16,Rope Push Down,Triceps,80.0,12,,,
2017-02-16,Rope Push Down,Triceps,80.0,12,,,
2017-02-16,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-16,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-16,Two-part Shoulder Fly,Shoulders,15.0,12,,,
2017-02-16,Tricep Extension Machine,Triceps,60.0,12,,,
2017-02-16,Tricep Extension Machine,Triceps,65.0,12,,,
2017-02-16,Tricep Extension Machine,Triceps,65.0,12,,,
2017-02-16,Seated Machine Curl,Biceps,60.0,12,,,
2017-02-16,Seated Machine Curl,Biceps,60.0,12,,,
2017-02-16,Seated Machine Curl,Biceps,65.0,12,,,
