Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2/4/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/4/2017,Leg Press,Legs,90,12,,,
2/4/2017,Leg Press,Legs,90,12,,,
2/4/2017,Leg Press,Legs,90,12,,,
2/4/2017,Calf Raise,Legs,0,20,,,
2/4/2017,Calf Raise,Legs,0,20,,,
2/4/2017,Calf Raise,Legs,0,20,,,
2/4/2017,Wall Sit,Legs,,,0,m,0:01:30
2/4/2017,Wall Sit,Legs,,,0,m,0:01:30
2/4/2017,Wall Sit,Legs,,,0,m,0:01:30
2/5/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/5/2017,Pull Up,Back,0,9,,,
2/5/2017,Pull Up,Back,0,8,,,
2/5/2017,Pull Up,Back,0,7,,,
2/5/2017,Pull Up,Back,0,6,,,
2/5/2017,Wide Grip Pull up,Back,0,5,,,
2/5/2017,Wide Grip Pull up,Back,0,5,,,
2/5/2017,Wide Grip Pull up,Back,0,4,,,
2/5/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/5/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/5/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/5/2017,Lat Fly,Back,20,12,,,
2/5/2017,Lat Fly,Back,20,12,,,
2/5/2017,Lat Fly,Back,20,12,,,
2/5/2017,Chest Press Machine,Chest,95,12,,,
2/5/2017,Chest Press Machine,Chest,95,12,,,
2/5/2017,Chest Press Machine,Chest,100,12,,,
2/5/2017,Pull Up,Back,0,4,,,
2/5/2017,Pull Up,Back,0,3,,,
2/5/2017,Pull Up,Back,0,3,,,
2/6/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/6/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/6/2017,Seated Incline Dumbbell Curl,Biceps,25,12,,,
2/6/2017,Overhead Press,Shoulders,25,12,,,
2/6/2017,Overhead Press,Shoulders,25,12,,,
2/6/2017,Overhead Press,Shoulders,30,10,,,
2/6/2017,Rope Push Down,Triceps,80,12,,,
2/6/2017,Rope Push Down,Triceps,80,12,,,
2/6/2017,Rope Push Down,Triceps,80,12,,,
2/6/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/6/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/6/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/6/2017,Tricep Extension Machine,Triceps,60,12,,,
2/6/2017,Tricep Extension Machine,Triceps,65,12,,,
2/9/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/9/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/9/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/9/2017,Overhead Press,Shoulders,25,12,,,
2/9/2017,Overhead Press,Shoulders,25,12,,,
2/9/2017,Overhead Press,Shoulders,25,12,,,
2/9/2017,Rope Push Down,Triceps,80,12,,,
2/9/2017,Rope Push Down,Triceps,80,12,,,
2/9/2017,Rope Push Down,Triceps,80,12,,,
2/9/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/9/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/9/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/9/2017,Tricep Extension Machine,Triceps,60,12,,,
2/9/2017,Tricep Extension Machine,Triceps,65,12,,,
2/9/2017,Tricep Extension Machine,Triceps,65,12,,,
2/9/2017,Two-part Dumbbell Curl,Biceps,20,12,,,
2/9/2017,Two-part Dumbbell Curl,Biceps,20,12,,,
2/9/2017,Two-part Dumbbell Curl,Biceps,20,12,,,
2/16/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/16/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/16/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/16/2017,Overhead Press,Shoulders,25,12,,,
2/16/2017,Overhead Press,Shoulders,25,12,,,
2/16/2017,Overhead Press,Shoulders,25,12,,,
2/16/2017,Rope Push Down,Triceps,80,12,,,
2/16/2017,Rope Push Down,Triceps,80,12,,,
2/16/2017,Rope Push Down,Triceps,80,12,,,
2/16/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/16/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/16/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/16/2017,Tricep Extension Machine,Triceps,60,12,,,
2/16/2017,Tricep Extension Machine,Triceps,65,12,,,
2/16/2017,Tricep Extension Machine,Triceps,65,12,,,
2/16/2017,Seated Machine Curl,Biceps,60,12,,,
2/16/2017,Seated Machine Curl,Biceps,60,12,,,
2/16/2017,Seated Machine Curl,Biceps,65,12,,,
2/21/2017,Wall Sit,Legs,,,0,m,0:01:30
2/21/2017,Wall Sit,Legs,,,0,m,0:01:30
2/21/2017,Leg Extension Machine,Legs,85,12,,,
2/21/2017,Leg Extension Machine,Legs,85,12,,,
2/21/2017,Leg Extension Machine,Legs,85,12,,,
2/21/2017,Plank,Abs,,,0,m,0:01:30
2/21/2017,Plank,Abs,,,0,m,0:01:30
2/21/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/22/2017,Wide Grip Pull up,Back,0,5,,,
2/22/2017,Wide Grip Pull up,Back,0,5,,,
2/22/2017,Wide Grip Pull up,Back,0,5,,,
2/22/2017,Pull Up,Back,0,9,,,
2/22/2017,Pull Up,Back,0,8,,,
2/22/2017,Pull Up,Back,0,7,,,
2/22/2017,Pull Up,Back,0,6,,,
2/22/2017,Pull Up,Back,0,5,,,
2/22/2017,Pull Up,Back,0,4,,,
2/22/2017,Pull Up,Back,0,3,,,
2/22/2017,Pull Up,Back,0,3,,,
2/22/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/22/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/22/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/22/2017,Chest Press Machine,Chest,95,12,,,
2/22/2017,Lat Fly,Back,20,12,,,
2/22/2017,Lat Fly,Back,20,12,,,
2/22/2017,Lat Fly,Back,20,12,,,
2/22/2017,Chest Press Machine,Chest,95,12,,,
2/22/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/23/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/23/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/23/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/23/2017,Overhead Press,Shoulders,25,12,,,
2/23/2017,Overhead Press,Shoulders,25,12,,,
2/23/2017,Overhead Press,Shoulders,25,12,,,
2/23/2017,Rope Push Down,Triceps,80,12,,,
2/23/2017,Rope Push Down,Triceps,80,12,,,
2/23/2017,Rope Push Down,Triceps,80,12,,,
2/23/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/23/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/23/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/23/2017,Tricep Extension Machine,Triceps,60,12,,,
2/23/2017,Tricep Extension Machine,Triceps,65,12,,,
2/23/2017,Tricep Extension Machine,Triceps,65,12,,,
2/23/2017,Seated Machine Curl,Biceps,60,12,,,
2/23/2017,Seated Machine Curl,Biceps,60,12,,,
2/23/2017,Seated Machine Curl,Biceps,65,12,,,
2/23/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/25/2017,Wall Sit,Legs,,,0,m,0:01:30
2/25/2017,Wall Sit,Legs,,,0,m,0:01:30
2/25/2017,Calf Raise,Legs,0,20,,,
2/25/2017,Calf Raise,Legs,0,20,,,
2/25/2017,Calf Raise,Legs,0,20,,,
2/25/2017,Leg Extension Machine,Legs,85,12,,,
2/25/2017,Leg Extension Machine,Legs,85,12,,,
2/25/2017,Leg Extension Machine,Legs,85,12,,,
2/25/2017,Plank,Abs,,,0,m,0:01:30
2/25/2017,Plank,Abs,,,0,m,0:01:30
2/25/2017,Side Plank,Abs,,,0,m,0:01:00
2/25/2017,Side Plank,Abs,,,0,m,0:01:00
2/25/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/26/2017,Wide Grip Pull up,Back,0,5,,,
2/26/2017,Wide Grip Pull up,Back,0,5,,,
2/26/2017,Wide Grip Pull up,Back,0,5,,,
2/26/2017,Wide Grip Pull up,Back,0,5,,,
2/26/2017,Pull Up,Back,0,9,,,
2/26/2017,Pull Up,Back,0,8,,,
2/26/2017,Pull Up,Back,0,7,,,
2/26/2017,Pull Up,Back,0,6,,,
2/26/2017,Pull Up,Back,0,5,,,
2/26/2017,Pull Up,Back,0,4,,,
2/26/2017,Pull Up,Back,0,3,,,
2/26/2017,Pull Up,Back,0,3,,,
2/26/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/26/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/26/2017,Flat Dumbbell Fly,Chest,30,12,,,
2/26/2017,Lat Fly,Back,20,12,,,
2/26/2017,Lat Fly,Back,20,12,,,
2/26/2017,Lat Fly,Back,20,12,,,
2/26/2017,Chest Press Machine,Chest,95,12,,,
2/26/2017,Chest Press Machine,Chest,95,12,,,
2/27/2017,Running (Treadmill),Cardio,,,1.3,mi,0:09:30
2/27/2017,Seated Machine Curl,Biceps,60,12,,,
2/27/2017,Seated Machine Curl,Biceps,60,12,,,
2/27/2017,Seated Machine Curl,Biceps,65,12,,,
2/27/2017,Rope Push Down,Triceps,80,12,,,
2/27/2017,Rope Push Down,Triceps,80,12,,,
2/27/2017,Rope Push Down,Triceps,80,12,,,
2/27/2017,Overhead Press,Shoulders,30,12,,,
2/27/2017,Overhead Press,Shoulders,25,12,,,
2/27/2017,Overhead Press,Shoulders,25,12,,,
2/27/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/27/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/27/2017,Seated Incline Dumbbell Curl,Biceps,20,12,,,
2/27/2017,Tricep Extension Machine,Triceps,60,12,,,
2/27/2017,Tricep Extension Machine,Triceps,65,12,,,
2/27/2017,Tricep Extension Machine,Triceps,65,12,,,
2/27/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/27/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/27/2017,Two-part Shoulder Fly,Shoulders,15,12,,,
2/28/2017,Wall Sit,Legs,,,0,m,0:01:30
2/28/2017,Wall Sit,Legs,,,0,m,0:01:30
2/28/2017,Calf Raise,Legs,0,20,,,
2/28/2017,Calf Raise,Legs,0,20,,,
2/28/2017,Calf Raise,Legs,0,20,,,
2/28/2017,Leg Extension Machine,Legs,85,12,,,
2/28/2017,Leg Extension Machine,Legs,85,12,,,
